gens,average_placement,hands_won,mean_money,fitness
gen69,17.98,1.59,4136.84,0.491574,12.9184,6.53738,8.3477,59.7725
gen70,10.6,0.67,2860.05,0.629934,1.40358,1.16605,4.58096,18.8675
gen71,26.49,2.62,6852.67,0.343169,80.0669,19.3311,7.85329,3.68
gen72,10.06,0.5,1718.39,0.630453,0.540428,0.166286,2.0112,39.5225
gen73,26.75,2.82,7053.32,0.339975,91.5493,89.6714,88.4944,-34.9975
gen74,10.34,0.63,5752.62,0.661234,1.82678,1.63335,6.16667,52.8875
gen75,28.86,4.1,8599.6,0.312743,98.6607,97.619,93.0685,-33.3775
gen76,10.27,0.91,4181.23,0.648994,1.69026,1.50011,6.32054,63.8225
gen77,9.76,0.67,3614.55,0.653955,1.3442,1.222,5.1241,66.6575
gen78,10.61,1.26,10356.3,0.698178,4.9169,4.43213,17.5495,76.7825
gen79,11.24,1.49,11953.4,0.700013,6.83859,6.40111,19.9484,101.488
gen80,16.87,4.39,10937.9,0.580219,46.3152,44.898,65.7763,50.4575
gen81,10.25,0.7,4596.17,0.652789,1.62602,0.583698,2.54479,53.495
gen82,19.1,2.75,9163.55,0.515773,45.1288,34.2552,50.5419,-16.57
gen83,10.76,1.27,9103.42,0.683842,4.59453,4.18102,14.1023,107.967
gen84,10.75,0.68,6901.25,0.663245,2.78631,2.47916,8.61564,35.8775
gen85,14.74,2.72,8075.38,0.595366,28.7122,16.3778,24.5063,29.6
gen86,9.52,0.71,923.606,0.634727,0.227461,0.0620347,0.48087,55.115
gen87,20.88,1.98,6746.85,0.456227,45.8522,12.8205,16.4152,-8.46999
gen88,10.44,0.69,3136.94,0.635741,1.7735,0.555556,4.52683,39.9275
gen89,9.3,0.95,6515.73,0.689969,2.34311,1.91524,6.17944,143.405
gen90,17.45,4.3,11460.5,0.572875,66.4523,29.2605,44.2041,104.728
gen91,11.17,0.72,9459.93,0.677724,5.00341,3.47965,10.6939,55.3175
gen92,9.94,0.58,1483.96,0.630938,0.589474,0.442105,2.27704,69.4925
