gen0,17.59,0.8,8150.09,0.534376,8.80102,8.16327,19.2483,-26.29
gen1,10.32,0.52,724.987,0.616212,0,0,0,21.2975
gen2,9.52,0.72,762.232,0.633291,0,0,0,27.98
gen3,12.83,0.74,3407.13,0.589231,3.66226,1.55137,6.76148,19.6775
gen4,10.33,0.59,925.352,0.617927,0.278373,0.214133,0.718172,24.5375
gen5,10.61,0.46,1041.35,0.613011,0,0,0,-10.9
gen6,22.87,2.58,11759.8,0.461523,66.6667,64.3853,72.1934,-24.67
gen7,23.06,3.74,8784.24,0.432779,68.338,66.6667,73.6723,-25.885
gen8,10.05,0.57,874.899,0.623183,0,0,0,33.65
gen9,10.38,0.58,739.345,0.615211,0,0,0,9.55251
gen10,9.96,0.57,926.395,0.625493,0,0,0,9.9575
gen11,10.06,0.56,697.285,0.621363,0,0,0,10.16
gen12,9.23,0.5,896.127,0.640078,0,0,0,53.495
gen13,10.28,0.6,893.743,0.618685,0,0,0,17.45
gen14,9.76,0.59,962.581,0.629954,0,0,0,43.775
gen15,12.24,0.84,6626.84,0.630477,4.93197,4.20311,11.6071,37.4975
gen16,18.65,1.18,11282.1,0.541454,21.4071,21.0463,42.0009,-27.1
gen17,12.03,0.81,2827.9,0.600545,2.60912,2.34089,6.88842,33.0425
gen18,18.74,1.14,7285.69,0.503574,18.9655,17.931,38.5652,-43.0975
gen19,19.28,2.02,8696.57,0.506661,37.3503,36.4521,59.1231,-52.615
gen20,10.43,0.63,883.273,0.615564,0,0,0,7.5275
gen21,22.87,1.77,12924.9,0.470659,47.241,46.0794,69.5312,-39.25
gen22,9.98,0.73,1001.34,0.626024,0.21004,0.189036,0.77187,63.8225
gen23,16.58,0.67,9856.51,0.570236,8.7529,8.28815,21.2398,-24.4675
gen24,20.04,2.58,7008.55,0.476813,33.3752,32.6851,53.876,-10.2925
gen25,11.56,0.74,3997.92,0.620599,2.48388,2.17339,5.74174,48.23
gen26,17.89,0.77,8388.39,0.530317,9.80651,9.41073,25.2326,-45.9325
gen27,19.3,2.03,6846.91,0.489621,27.5946,27.1673,50.4355,-51.6025
gen28,9.93,0.47,925.609,0.625934,0,0,0.0844595,27.17
gen29,15.49,1.69,7745.74,0.575298,15.6202,15.0842,34.0361,1.45251
gen30,9.71,0.64,1587.3,0.636686,0.287652,0.184919,1.11317,74.7575
gen31,12.85,1.26,12675.3,0.673101,7.0166,6.23996,18.4038,64.2275
gen32,11.52,0.79,3682.24,0.618662,2.86697,0.825688,2.26827,20.0825
gen33,17.43,1.32,10872.5,0.563026,14.4383,13.4131,30.654,0.237503
gen34,10.44,0.72,8192.64,0.681293,2.7661,2.54481,8.49894,69.29
gen35,10.47,0.49,1179.35,0.617174,0.235093,0.170977,0.8886,6.3125
gen36,17.8,1.76,8284.28,0.532876,21.0959,20.4384,40.1332,-28.5175
gen37,10.59,0.85,5819.6,0.657075,1.85671,1.57274,5.18312,61.7975
gen38,15.79,0.87,8854.39,0.577755,8.72633,8.31786,23.4211,-7.8625
gen39,10.08,0.47,1540.88,0.628395,0.229262,0.187578,0.694883,38.105
gen40,16.93,2.4,11475.3,0.580508,21.9523,21.6824,38.8693,16.8425
gen41,11.45,0.39,1166.94,0.596793,0.214915,0.193424,0.853578,-23.86
gen42,18.72,3.47,11483.8,0.54565,47.8532,47.2992,67.328,-3.00249
gen43,10.27,0.46,1123.3,0.620722,0,0,0,0.440002
gen44,20.79,2.72,10379.5,0.492,63.1139,62.3824,78.3232,-34.9975
gen45,10.51,0.35,2980.29,0.632329,0.511182,0.340788,1.71637,1.25
gen46,18.55,2.05,11042.1,0.542795,25.6637,25.3097,46.2884,-55.855
gen47,10.97,0.37,1361.89,0.608361,0.281203,0.237941,1.28512,-5.4325
gen48,19.65,3.17,11504,0.526255,40,39.6528,58.1623,-14.545
gen49,9.94,0.85,2971.68,0.644777,1.4433,1.23711,3.59638,51.875
gen50,18.18,2.44,10657.4,0.547573,37.2122,36.2788,58.7308,-12.52
gen51,9.97,0.57,894.965,0.625005,0,0,0,20.69
gen52,10.16,0.97,5326.24,0.661655,2.97901,2.73076,7.96518,66.2525
gen53,14.76,0.81,10954.7,0.617686,8.07882,7.55337,21.0213,2.2625
gen54,18.32,1.63,15290.3,0.585047,27.9951,27.2005,48.4757,-21.835
gen55,11.33,0.7,5311.92,0.637076,2.25686,2.14053,6.66968,11.5775
gen56,14.82,1.13,12409.8,0.630084,8.92915,8.41152,22.0022,23.3225
gen57,13.13,0.87,9432.73,0.637524,5.25127,4.88425,14.2115,52.0775
gen58,20.53,2.97,14454.1,0.534422,49.6726,49.392,64.9697,-24.265
gen59,11.49,0.67,6739.58,0.646593,2.40636,2.17934,5.4343,30.6125
gen60,12.9,0.57,9390.66,0.641363,4.17239,3.89789,11.7136,52.685
gen61,18.58,2.3,12734.1,0.557825,26.3928,24.3626,42.8571,12.185
gen62,11.52,0.62,4104.27,0.622177,2.46718,2.30874,6.55051,-12.3175
gen63,15.91,1.17,10307.6,0.588872,13.4013,12.7218,28.858,-29.125
gen64,10.65,0.78,8598.26,0.680736,3.74647,3.46371,10.0668,76.985
gen65,17.88,1.59,9777.28,0.544389,18.3575,17.8261,37.2527,20.69
gen66,11.66,0.63,7602.29,0.650804,2.1654,1.86593,5.71877,7.9325
gen67,14.66,1.62,10064.7,0.613077,12.0883,11.5789,27.5175,23.93
