gens,average_placement,hands_won,mean_money,fitness
gen139,7.510000,2643,5710.985835,5.250000
gen140,5.651000,1291,4491.410931,5.250000
gen141,9.704000,3459,4389.878710,5.250000
gen142,5.704000,1150,3199.052977,6.450000
gen143,8.760000,3765,4363.524574,5.250000
gen144,5.548000,1075,3146.871459,6.450000
gen145,7.742000,2974,5447.273576,5.250000
gen146,5.593000,1293,4628.603762,5.250000
gen147,6.827000,1860,6282.132384,5.250000
gen148,5.846000,1409,4727.520589,5.250000
gen149,8.928000,3593,4739.476389,5.250000
gen150,5.433000,1028,2908.157023,4.750000
gen151,9.636000,4124,3488.589058,6.000000
gen152,5.590000,1209,2970.625792,6.450000
gen153,9.780000,3569,3980.833591,5.250000
gen154,5.244000,845,1302.068204,2.800000
gen155,11.631000,3968,3308.437708,12.400000
gen156,5.576000,1106,3232.517055,6.450000
gen157,6.533000,1654,5335.935495,5.250000
gen158,6.494000,1583,4395.949230,5.250000
gen159,6.887000,1643,5226.449472,5.250000
gen160,5.562000,887,2237.364251,7.050000
gen161,9.720000,5442,3420.398679,6.150000
gen162,5.688000,895,1990.262977,7.050000
gen163,9.471000,3833,3974.928665,5.250000
gen164,5.686000,917,1717.530078,7.050000
gen165,6.771000,2307,4649.922863,5.250000
gen166,5.882000,1892,3334.495769,6.150000
gen167,6.635000,3069,3737.141785,5.250000
gen168,5.907000,1444,2864.246288,6.450000
gen169,6.509000,2448,3767.946430,5.250000
gen170,6.076000,2125,3015.749480,6.450000
gen171,6.341000,2081,3181.187237,6.450000
gen172,5.970000,2244,3146.123777,6.450000
gen173,6.197000,1809,3097.360524,6.450000
gen174,6.212000,2655,3330.282089,6.450000
gen175,5.993000,1998,3330.188084,6.300000
gen176,5.898000,2580,3524.601913,5.550000
gen177,7.204000,4299,3593.561340,5.700000
gen178,5.888000,2371,3303.261548,6.450000
gen179,7.857000,4444,3609.603461,5.700000
gen180,5.381000,857,1963.054202,7.050000
gen181,6.549000,2758,3395.256477,5.850000
gen182,6.020000,2943,3491.870301,5.400000
gen183,8.770000,5017,3326.570812,6.300000
gen184,5.677000,1918,3131.679451,6.450000
gen185,6.060000,3072,3425.297424,6.150000
gen186,6.102000,2580,3306.361123,6.450000
gen187,8.504000,3499,3534.961533,5.850000
gen188,5.748000,1999,3069.230366,6.450000
gen189,6.740000,3819,3450.563713,5.850000
gen190,6.987000,3991,3537.187319,5.700000
gen191,5.748000,2305,3064.306034,6.450000
gen192,6.736000,5036,3484.619983,5.700000
gen193,7.198000,5056,3566.305264,5.400000
gen194,7.018000,4584,3484.523670,5.850000
gen195,6.557000,4924,3450.897933,5.850000
gen196,6.607000,4518,3346.887621,6.150000
gen197,6.966000,4890,3389.358189,6.150000
gen198,6.363000,4242,3583.101646,5.550000
gen199,6.465000,4720,3438.953818,5.850000
gen200,5.947000,3713,3441.879459,6.000000
gen201,5.941000,4042,3364.148926,6.150000
gen202,6.860000,5310,3297.201419,6.300000
gen203,5.724000,3659,3411.475144,6.150000
gen204,6.765000,5356,3348.855946,6.000000
gen205,6.013000,3415,3267.520426,6.300000
gen206,6.395000,4401,3566.546755,5.400000
gen207,5.664000,3508,3238.419652,6.450000
gen208,6.059000,3842,3540.980912,5.550000
gen209,7.002000,5105,3457.559430,5.850000
gen210,6.527000,4926,3530.945297,5.700000
gen211,6.241000,4263,3535.214801,5.700000
gen212,6.297000,4725,3495.842440,5.850000
gen213,5.933000,3879,3527.603548,5.550000
gen214,5.984000,3959,3452.873889,6.000000
gen215,6.338000,4256,3525.965322,5.850000
gen216,6.027000,4619,3495.594508,5.700000
gen217,5.950000,4751,3507.234556,5.850000
gen218,7.127000,5650,3380.072913,5.850000
gen219,5.828000,3748,3494.134761,5.700000
gen220,6.206000,4276,3333.557544,6.450000
gen221,6.421000,4753,3537.859448,5.700000
gen222,6.434000,4631,3407.569803,5.850000
gen223,6.083000,5061,3437.739440,5.850000
gen224,6.403000,5757,3462.284842,5.850000
gen225,5.679000,3778,3302.005418,6.450000
gen226,5.725000,4230,3408.780515,6.000000
gen227,5.918000,4202,3607.115511,5.400000
gen228,5.904000,4362,3544.915922,5.550000
