gen0,13.415,0.598,5781.42,0.598363,2.59207,2.31554,8.02768,100.79
gen1,10.063,0.563,821.664,0.622426,0.0083167,0,0,293.165
gen2,10.023,0.519,940.174,0.624239,0,0,0,228.972
gen3,10.279,0.575,998.072,0.619603,0.107925,0.095228,0.308117,307.948
gen4,10.111,0.54,755.543,0.620808,0,0,0,309.973
gen5,10.074,0.545,908.938,0.622955,0.00207779,0.00207779,0.00424529,312.402
gen6,9.924,0.513,878.46,0.625705,0,0,0,236.465
gen7,10.208,0.513,877.491,0.61987,0,0,0,200.218
gen8,10.212,0.487,898.178,0.619931,0.00838012,0.00628509,0.0149566,213.583
gen9,10.136,0.528,915.409,0.621714,0,0,0,155.87
gen10,10.003,0.577,876.009,0.624169,0,0,0,312.808
gen11,9.955,0.515,860.555,0.624911,0,0,0,318.275
gen12,10.025,0.53,817.681,0.623114,0,0,0,193.13
gen13,9.743,0.544,923.098,0.629871,0,0,0,349.055
gen14,10.204,0.53,849.981,0.619733,0,0,0,182.195
gen15,10.08,0.545,847.346,0.622278,0,0,0,304.708
gen16,10.046,0.527,775.321,0.622297,0,0,0,234.642
gen17,10.047,0.526,856.86,0.623009,0,0,0,237.275
gen18,10.037,0.522,763.59,0.622368,0,0,0,206.9
gen19,9.939,0.54,964.449,0.626216,0,0,0,272.105
gen20,23.895,0.516,4383.3,0.370669,5.93376,0.915363,3.11764,158.502
gen21,24.008,0.462,4810.28,0.372104,5.55249,0.846444,2.96431,110.307
gen22,27.053,0.81,6194.94,0.322684,19.91,1.5045,4.62542,-139.982
gen23,14.962,0.482,2030.39,0.532677,0.912829,0.315482,0.89516,173.488
gen24,10.643,0.528,935.915,0.611498,0.0768344,0.0426858,0.153673,221.075
gen25,23.381,0.564,4445.01,0.381848,6.38102,1.28936,3.22477,176.12
gen26,26.976,0.925,5393.37,0.317241,25.363,2.6809,2.20868,-101.71
gen27,28.053,1.377,5930.34,0.300735,52.278,6.90656,4.18832,-257.432
gen28,27.887,1.453,7291.36,0.316516,56.5391,8.74219,6.09266,-121.758
gen29,13.129,0.539,1563.02,0.566166,0.553202,0.244821,0.71245,328.4
gen30,27.081,2.889,6044.58,0.324221,79.2937,6.38167,3.05035,10.07
gen31,14.624,0.494,1798.63,0.537544,0.661704,0.248139,0.807616,261.373
