gens,average_placement,hands_won,mean_money,fitness
gen139,3.398000,3586,2013.265474,3.200000
gen140,3.456000,3851,2141.294308,3.000000
gen141,3.397000,3931,2135.993837,3.000000
gen142,3.535000,3405,1883.956600,3.200000
gen143,3.440000,3477,2330.852920,3.200000
gen144,3.537000,5162,2138.895506,2.900000
gen145,3.406000,3974,2224.948787,3.100000
gen146,3.820000,4994,2044.174766,3.000000
gen147,3.572000,4608,2160.584880,3.000000
gen148,3.419000,3954,2181.017091,3.000000
gen149,3.319000,4716,2102.633266,3.000000
gen150,3.355000,4854,2134.762418,3.000000
gen151,3.466000,4712,2175.268032,2.900000
gen152,3.518000,5735,2129.410962,2.800000
gen153,3.301000,4216,2343.969727,3.000000
gen154,3.772000,6357,1973.065261,2.600000
gen155,3.610000,5397,2460.303836,2.900000
gen156,3.582000,6556,2419.259132,2.600000
gen157,3.323000,5502,2526.496340,2.800000
gen158,3.744000,8064,2208.613367,2.600000
gen159,3.411000,3689,2152.593936,3.100000
gen160,3.729000,6409,2067.856790,2.600000
gen161,3.464000,3983,2250.327835,3.000000
gen162,3.353000,3583,2299.406711,3.100000
gen163,3.365000,3738,2316.518900,3.000000
gen164,3.438000,4349,2540.800310,3.000000
gen165,3.509000,4903,2422.437597,2.900000
gen166,3.436000,4604,2130.349831,2.900000
gen167,3.481000,6199,2321.534828,2.700000
gen168,3.712000,5712,2254.391175,2.800000
gen169,4.997000,5988,1927.423909,3.400000
gen170,3.539000,5223,2466.129743,2.800000
gen171,3.436000,5868,2424.427503,2.800000
gen172,3.579000,6418,2399.367797,2.600000
gen173,3.636000,6114,2386.015566,2.700000
gen174,3.335000,5065,2590.726382,2.800000
gen175,3.499000,6113,2432.094270,2.700000
gen176,3.509000,5179,2506.860488,2.800000
gen177,3.468000,5677,2390.878146,2.800000
gen178,3.435000,5543,2418.937300,2.800000
gen179,3.489000,5669,2425.318235,2.800000
gen180,3.567000,6078,1985.744877,2.700000
gen181,3.711000,5731,1940.899998,2.800000
gen182,3.709000,5771,2360.951785,2.800000
gen183,3.707000,5979,1893.669108,2.700000
gen184,3.413000,4572,2313.722102,3.000000
gen185,3.630000,5623,2028.470927,2.800000
gen186,3.433000,5336,2406.235938,2.900000
gen187,3.499000,6313,2044.101409,2.700000
gen188,3.526000,5908,2439.046012,2.800000
gen189,3.255000,5506,2166.710091,2.800000
gen190,3.638000,6990,1903.329882,2.600000
gen191,3.690000,5050,2069.159849,2.900000
gen192,3.182000,4504,2364.447903,3.000000
gen193,3.367000,5256,2100.668540,2.900000
gen194,3.242000,6447,1480.540547,2.900000
gen195,3.278000,5912,1461.477219,3.000000
gen196,3.257000,5971,1443.428221,3.000000
gen197,3.349000,7060,1410.209720,2.800000
gen198,3.159000,6521,1474.631268,3.000000
gen199,3.119000,6695,1476.685166,1.300000
gen200,3.188000,5063,1430.223589,3.200000
gen201,3.144000,6464,1517.609601,2.900000
gen202,3.259000,6739,1426.844884,2.800000
gen203,3.081000,6049,1477.095383,1.500000
gen204,3.044000,6859,1454.374369,1.200000
gen205,3.242000,5767,1501.742118,3.100000
gen206,3.158000,5181,1467.703273,2.400000
gen207,3.209000,6108,1461.285040,3.000000
gen208,3.123000,5436,1481.303179,1.600000
gen209,3.205000,6357,1486.324010,3.000000
gen210,3.228000,6157,1509.411533,3.000000
gen211,3.141000,5824,1525.035346,1.400000
gen212,3.212000,6191,1521.620241,3.100000
gen213,3.265000,5395,1484.472011,3.200000
gen214,3.238000,6975,1536.173768,2.900000
gen215,3.131000,6403,1497.059295,2.200000
gen216,3.134000,4803,1571.524241,1.600000
gen217,3.090000,5577,1509.996501,1.500000
gen218,3.139000,4938,1511.261426,1.500000
gen219,3.164000,5791,1536.518599,2.300000
gen220,3.080000,4963,1566.798895,1.600000
gen221,3.070000,4920,1441.949205,1.600000
gen222,3.065000,7416,1599.634246,1.200000
gen223,3.024000,4703,1452.838899,1.600000
gen224,3.135000,4405,1430.906185,1.600000
gen225,3.063000,5740,1517.917143,1.400000
gen226,3.079000,5598,1540.746648,1.500000
gen227,3.094000,5631,1575.663656,1.500000
gen228,3.035000,5268,1542.329257,1.500000
gen229,2.988000,4804,1492.581496,1.600000
gen230,3.120000,5905,1647.583154,1.300000
gen231,2.995000,5586,1520.487252,1.500000
gen232,3.093000,4688,1430.630486,1.600000
gen233,2.971000,6411,1601.542178,1.400000
gen234,2.982000,5699,1603.335034,1.500000
gen235,3.019000,6529,1522.434574,1.300000
gen236,3.039000,6912,1607.042431,1.200000
gen237,3.069000,6580,1618.388585,1.200000
gen238,3.080000,6590,1562.847654,1.400000
gen239,3.055000,7426,1584.773783,1.200000
gen240,2.991000,7468,1570.539969,1.200000
gen241,3.065000,6925,1590.143042,1.200000
gen242,3.093000,5940,1563.251365,1.400000
gen243,3.101000,8304,1493.203375,2.000000
gen244,3.045000,6942,1574.852268,1.300000
gen245,3.034000,8801,1504.337287,1.200000
gen246,3.064000,6753,1627.129628,1.300000
gen247,3.041000,4335,1463.643919,1.600000
gen248,3.012000,7388,1623.914315,1.300000
gen249,3.031000,4431,1368.865744,1.600000
gen250,3.002000,7509,1658.052439,1.100000
gen251,2.978000,5944,1606.239057,1.400000
gen252,3.072000,9423,1502.671063,1.200000
